order_id,bank_to,amount3,k_symbol
29677,KL,2,Household
29678,AB,1,Household
29679,GH,0,Household
29680,IJ,0,Leasing
29681,IJ,2,Household
29682,GH,2,Household
29683,UV,0,Household
29684,AB,2,Household
29685,GH,1,Household
29686,OP,0,Household
29687,MN,0,Insurance
29688,YZ,1,Household
29689,WX,1,Household
29690,WX,0,Insurance
29691,YZ,0,Household
29692,YZ,1,Leasing
29693,IJ,1,Household
29694,QR,2,Household
29695,CD,0,Household
29696,AB,2,Household
29697,MN,0,Household
29698,AB,1,Household
29699,KL,0,Insurance
29700,IJ,0,Household
29701,EF,3,Household
29702,MN,0,Household
29703,QR,0,Household
29704,CD,0,Household
29705,OP,3,Household
29711,UV,0,Household
29712,AB,1,Household
29713,KL,0,Household
29714,KL,0,Household
29715,GH,0,Household
29716,AB,0,Insurance
29717,AB,1,Household
29718,CD,0,Household
29719,UV,0,Insurance
29720,OP,0,Household
29721,QR,0,Household
29722,EF,0,Household
29723,KL,0,Insurance
29724,IJ,2,Household
29725,IJ,0,Leasing
29726,EF,4,Household
29727,EF,1,Household
29728,EF,0,Household
29729,MN,0,Household
29730,KL,0,Household
29731,GH,0,Household
29732,CD,1,Household
29733,YZ,0,Leasing
29734,IJ,1,Leasing
29735,GH,0,Household
29736,OP,1,Household
29737,QR,1,Household
29738,CD,2,Household
29739,WX,1,Leasing
29740,EF,1,Household
29741,MN,1,Household
29742,KL,0,Household
29743,UV,2,Household
29744,GH,3,Loan
29745,GH,3,Household
29746,QR,0,Household
29747,EF,0,Household
29748,ST,0,Household
29749,ST,1,Household
29750,AB,0,Household
29751,KL,0,Insurance
29752,WX,0,Household
29753,KL,1,Household
29755,MN,0,Household
29756,MN,0,Household
29757,KL,0,Household
29758,AB,0,Household
29759,AB,0,Household
29760,IJ,0,Household
29761,CD,0,Household
29762,MN,2,Household
29763,IJ,0,Insurance
29764,WX,3,Household
29765,OP,0,Leasing
29766,QR,0,Household
29767,MN,0,Household
29768,EF,0,Insurance
29769,WX,0,Household
29770,WX,0,Household
29771,KL,0,Leasing
29772,GH,1,Household
29773,MN,0,Household
29774,OP,0,Household
29775,GH,0,Insurance
29776,YZ,0,Household
29780,AB,0,Leasing
29781,OP,1,Household
29782,GH,0,Household
29783,WX,1,Household
29784,AB,1,Household
29785,CD,0,Household
29788,WX,1,Household
29789,ST,1,Leasing
29790,GH,4,Household
29791,KL,1,Household
29792,MN,0,Household
29793,EF,0,Household
29794,GH,1,Household
29795,IJ,0,Household
29796,ST,0,Household
29797,WX,2,Household
29798,YZ,1,Household
29799,EF,0,Household
29800,WX,1,Leasing
29801,KL,1,Household
29802,OP,1,Household
29803,QR,0,Household
29804,YZ,0,Household
29805,QR,1,Household
29806,QR,0,Household
29807,IJ,2,Household
29808,ST,0,Leasing
29809,OP,2,Household
29810,EF,0,Household
29811,YZ,0,Insurance
29812,ST,3,Household
29813,CD,0,Household
29814,UV,0,Household
29815,AB,1,Loan
29816,EF,1,Household
29817,ST,0,Leasing
29818,IJ,1,Household
29819,MN,0,Leasing
29820,EF,0,Household
29821,QR,0,Household
29822,KL,1,Household
29823,UV,1,Household
29824,QR,0,Leasing
29825,CD,1,Household
29826,GH,2,Household
29827,AB,0,Household
29828,OP,0,Household
29829,EF,1,Household
29830,UV,0,Leasing
29831,ST,3,Household
29832,CD,0,Household
29833,EF,0,Household
29834,WX,1,Household
29835,QR,0,Household
29836,AB,1,Household
29837,OP,0,Household
29838,YZ,0,Loan
29839,UV,0,Household
29840,IJ,1,Household
29841,YZ,0,Leasing
29842,EF,0,Household
29843,YZ,4,Household
29844,KL,0,Household
29845,QR,0,Household
29846,QR,0,Household
29847,EF,0,Insurance
29848,MN,1,Household
29849,KL,0,Household
29850,IJ,0,Insurance
29851,UV,0,Household
29852,AB,2,Household
29853,AB,0,Household
29854,YZ,0,Household
29855,IJ,0,Household
29856,ST,1,Household
29857,KL,1,Household
29858,UV,1,Loan
29859,AB,4,Household
29860,ST,0,Household
29861,IJ,1,Household
29862,CD,0,Leasing
29863,UV,0,Loan
29865,CD,1,Household
29866,WX,0,Household
29867,GH,1,Insurance
29868,YZ,0,Household
29869,YZ,0,Loan
29870,WX,2,Household
29871,GH,0,Household
29872,WX,0,Loan
29873,KL,4,Household
29874,MN,1,Loan
29875,QR,1,Household
29876,GH,0,Household
29877,GH,2,Loan
29878,KL,0,Household
29879,KL,0,Household
29880,AB,0,Insurance
29881,UV,0,Household
29882,ST,2,Household
29883,GH,1,Household
29884,OP,0,Household
29885,KL,0,Household
29886,GH,0,Household
29887,MN,0,Household
29888,EF,0,Household
29889,OP,1,Household
29890,IJ,1,Household
29891,OP,0,Household
29892,GH,0,Household
29893,GH,0,Household
29894,UV,1,Household
29895,OP,2,Loan
29896,UV,1,Household
29897,MN,0,Household
29898,QR,0,Household
29899,QR,0,Household
29900,AB,0,Insurance
29901,IJ,0,Household
29902,MN,0,Household
29903,GH,0,Household
29904,AB,1,Household
29905,AB,0,Household
29906,OP,2,Loan
29907,WX,1,Household
29908,IJ,0,Household
29909,CD,0,Household
29910,YZ,0,Household
29911,KL,0,Household
29912,QR,0,Household
29913,WX,1,Household
29914,CD,0,Loan
29915,QR,2,Household
29916,KL,2,Household
29917,CD,2,Loan
29918,ST,1,Household
29919,YZ,1,Loan
29920,AB,1,Household
29921,KL,0,Household
29922,UV,0,Household
29923,CD,0,Household
29924,UV,1,Household
29925,WX,1,Household
29926,GH,0,Household
29927,GH,1,Household
29928,EF,0,Household
29929,IJ,0,Household
29930,UV,0,Household
29931,ST,0,Household
29932,ST,0,Insurance
29933,ST,0,Household
29934,UV,1,Household
29935,YZ,0,Household
29936,ST,0,Household
29937,ST,2,Household
29938,ST,0,Household
29939,EF,0,Insurance
29940,ST,0,Household
29941,YZ,0,Leasing
29942,QR,3,Household
29943,QR,0,Household
29944,UV,0,Insurance
29945,UV,0,Household
29946,IJ,0,Household
29947,YZ,0,Household
29948,QR,0,Insurance
29949,ST,1,Household
29950,KL,2,Household
29951,ST,1,Household
29952,EF,0,Household
29953,UV,0,Insurance
29954,YZ,0,Household
29955,UV,0,Leasing
29959,MN,0,Household
29960,EF,0,Household
29961,KL,0,Insurance
29962,ST,2,Household
29963,MN,0,Household
29964,OP,2,Household
29965,KL,1,Household
29966,IJ,2,Household
29967,MN,1,Loan
29968,KL,2,Household
29969,AB,0,Household
29970,ST,0,Insurance
29971,KL,0,Household
29972,CD,0,Household
29973,CD,0,Household
29974,GH,0,Insurance
29975,IJ,0,Household
29979,IJ,0,Household
29980,OP,0,Household
29981,MN,0,Insurance
29982,EF,0,Household
29983,MN,0,Leasing
29984,WX,0,Household
29985,ST,0,Household
29986,GH,0,Insurance
29987,CD,1,Household
29988,CD,2,Household
29989,KL,0,Household
29990,WX,1,Household
29991,YZ,1,Household
29992,GH,0,Household
29993,WX,1,Household
29994,AB,0,Household
29995,AB,1,Household
30001,YZ,1,Household
30002,GH,1,Household
30003,WX,0,Leasing
30004,UV,1,Household
30005,GH,0,Household
30006,OP,0,Insurance
30007,YZ,0,Household
30008,IJ,0,Household
30009,GH,1,Leasing
30010,IJ,2,Household
30011,WX,2,Household
30012,AB,1,Household
30013,EF,0,Household
30014,YZ,0,Household
30015,CD,0,Household
30016,KL,0,Household
30017,GH,0,Household
30018,WX,1,Household
30019,EF,0,Leasing
30020,MN,3,Household
30021,WX,0,Household
30022,KL,1,Insurance
30023,UV,0,Household
30024,KL,0,Household
30025,WX,1,Household
30026,EF,0,Household
30027,QR,1,Household
30028,QR,2,Household
30029,WX,1,Household
30030,QR,2,Household
30031,WX,2,Household
30032,CD,0,Household
30033,AB,2,Household
30034,OP,2,Household
30035,ST,0,Household
30036,CD,0,Household
30037,MN,3,Household
30038,KL,2,Household
30039,YZ,1,Household
30040,UV,0,Household
30041,WX,1,Household
30042,ST,0,Household
30043,OP,0,Household
30044,GH,0,Insurance
30045,MN,1,Loan
30046,AB,2,Household
30047,GH,0,Household
30048,CD,2,Household
30049,MN,1,Household
30050,IJ,1,Household
30051,GH,2,Household
30052,KL,0,Household
30053,WX,1,Household
30054,ST,0,Household
30055,MN,1,Household
30056,WX,1,Household
30057,IJ,0,Household
30058,CD,0,Insurance
30059,CD,0,Household
30060,YZ,1,Household
30061,QR,1,Household
30062,GH,0,Loan
30063,OP,1,Leasing
30064,YZ,1,Household
30065,WX,0,Household
30066,EF,2,Loan
30067,CD,1,Household
30068,ST,0,Household
30069,KL,0,Household
30070,IJ,0,Household
30071,QR,0,Insurance
30072,QR,1,Household
30073,QR,1,Household
30074,IJ,2,Household
30075,EF,2,Household
30076,GH,1,Household
30077,ST,0,Leasing
30080,AB,0,Household
30081,WX,0,Household
30082,QR,0,Household
30083,UV,2,Loan
30084,OP,1,Household
30085,OP,0,Household
30086,QR,2,Household
30087,GH,1,Household
30088,ST,2,Household
30089,WX,1,Leasing
30092,AB,3,Household
30093,CD,0,Leasing
30094,MN,1,Household
30095,OP,0,Household
30096,ST,2,Household
30097,QR,2,Household
30098,UV,1,Household
30099,ST,0,Leasing
30100,IJ,3,Household
30101,UV,1,Household
30102,AB,0,Household
30103,AB,1,Household
30104,YZ,0,Household
30105,AB,0,Household
30106,AB,1,Household
30107,IJ,0,Household
30108,OP,0,Insurance
30109,ST,1,Household
30110,CD,0,Household
30111,CD,0,Insurance
30112,KL,0,Household
30113,UV,2,Loan
30114,GH,1,Household
30115,KL,0,Household
30116,QR,0,Insurance
30117,YZ,0,Household
30118,UV,0,Household
30119,OP,0,Household
30120,UV,0,Household
30121,CD,0,Household
30122,GH,0,Household
30123,IJ,0,Insurance
30124,EF,2,Household
30125,YZ,0,Household
30126,KL,1,Household
30127,IJ,0,Leasing
30128,GH,0,Household
30129,IJ,0,Household
30134,GH,0,Household
30135,GH,0,Household
30136,MN,0,Household
30137,GH,0,Insurance
30138,IJ,0,Household
30139,AB,0,Leasing
30140,EF,2,Household
30141,WX,0,Household
30142,AB,1,Insurance
30143,GH,3,Household
30144,ST,1,Household
30145,UV,0,Household
30146,EF,3,Household
30147,EF,0,Leasing
30148,GH,2,Household
30149,ST,0,Household
30153,IJ,1,Household
30154,EF,1,Household
30157,WX,0,Leasing
30158,MN,1,Household
30159,AB,0,Household
30160,KL,1,Loan
30161,ST,0,Household
30162,QR,2,Household
30163,GH,0,Leasing
30164,UV,0,Household
30165,QR,0,Household
30166,OP,0,Household
30167,GH,1,Household
30168,QR,0,Household
30169,IJ,0,Insurance
30170,IJ,0,Household
30171,YZ,0,Household
30172,IJ,2,Loan
30173,YZ,0,Household
30174,UV,0,Household
30175,GH,0,Insurance
30176,MN,0,Leasing
30177,GH,3,Household
30178,EF,2,Household
30179,KL,1,Household
30180,CD,0,Household
30181,CD,1,Household
30182,UV,3,Household
30183,GH,0,Household
30184,MN,0,Household
30185,AB,1,Household
30186,MN,0,Household
30187,IJ,1,Household
30188,WX,0,Household
30189,GH,1,Household
30190,AB,1,Household
30191,MN,1,Loan
30192,ST,2,Household
30193,MN,1,Household
30195,IJ,0,Household
30196,MN,1,Household
30197,OP,0,Household
30198,EF,0,Household
30199,IJ,1,Household
30200,KL,0,Household
30201,KL,0,Household
30202,OP,0,Insurance
30203,OP,2,Household
30204,UV,0,Household
30205,MN,0,Insurance
30206,AB,0,Household
30207,AB,0,Household
30208,ST,0,Household
30209,OP,0,Household
30210,IJ,1,Household
30211,WX,0,Household
30212,AB,1,Insurance
30213,WX,0,Household
30214,EF,0,Household
30215,QR,0,Household
30216,CD,0,Insurance
30217,EF,1,Loan
30218,YZ,1,Household
30219,YZ,0,Household
30220,EF,0,Household
30221,EF,0,Household
30222,AB,0,Household
30223,OP,0,Household
30224,CD,1,Household
30225,GH,0,Household
30226,WX,0,Household
30227,AB,0,Household
30228,ST,2,Household
30229,YZ,0,Household
30230,WX,0,Insurance
30231,MN,0,Household
30232,CD,1,Household
30233,WX,0,Household
30234,CD,0,Household
30235,QR,1,Household
30236,QR,0,Household
30237,WX,0,Household
30238,QR,2,Household
30239,YZ,0,Household
30240,IJ,2,Household
30241,KL,1,Household
30242,CD,0,Leasing
30243,YZ,0,Household
30244,YZ,2,Household
30245,EF,1,Household
30246,WX,1,Household
30247,EF,0,Household
30248,QR,0,Insurance
30249,WX,0,Leasing
30250,CD,0,Leasing
30251,KL,0,Household
30252,GH,1,Household
30253,OP,1,Household
30254,QR,1,Household
30255,ST,1,Household
30256,KL,0,Household
30257,KL,0,Insurance
30258,CD,0,Household
30259,OP,0,Household
30260,CD,0,Household
30261,KL,1,Household
30262,AB,0,Household
30263,KL,0,Household
30264,KL,0,Household
30266,MN,0,Household
30267,AB,1,Household
30268,MN,0,Household
30269,KL,0,Insurance
30270,GH,1,Household
30271,WX,0,Household
30272,WX,0,Household
30273,MN,0,Household
30274,CD,0,Household
30275,WX,1,Household
30276,EF,2,Household
30277,IJ,2,Household
30278,OP,1,Household
30279,MN,0,Household
30280,UV,1,Household
30281,ST,0,Household
30282,EF,1,Household
30283,KL,1,Household
30284,CD,2,Household
30285,EF,2,Household
30286,GH,0,Household
30287,KL,0,Household
30288,AB,0,Household
30289,IJ,0,Household
30290,CD,0,Household
30291,IJ,0,Insurance
30292,AB,0,Household
30293,YZ,0,Household
30294,YZ,0,Household
30295,UV,0,Household
30296,OP,0,Household
30297,OP,0,Household
30298,WX,0,Leasing
30299,MN,4,Household
30300,ST,0,Household
30301,WX,1,Household
30302,YZ,0,Household
30303,AB,2,Household
30304,GH,0,Household
30305,QR,1,Household
30306,MN,2,Household
30307,MN,0,Household
30308,QR,0,Insurance
30309,GH,0,Household
30310,ST,0,Household
30311,IJ,0,Household
30312,CD,0,Leasing
30313,QR,3,Household
30314,WX,1,Household
30315,KL,2,Household
30316,KL,0,Leasing
30317,YZ,1,Household
30318,QR,0,Household
30319,WX,0,Household
30320,IJ,0,Household
30321,GH,0,Household
30322,OP,0,Household
30323,CD,0,Household
30324,ST,0,Insurance
30325,KL,1,Household
30327,OP,0,Household
30328,GH,0,Household
30329,KL,0,Insurance
30330,UV,0,Household
30331,YZ,1,Household
30332,AB,0,Household
30333,QR,0,Household
30334,AB,1,Household
30335,GH,0,Insurance
30336,ST,0,Household
30337,MN,0,Household
30338,WX,1,Household
30340,YZ,0,Household
30341,YZ,0,Household
30342,GH,4,Household
30343,AB,1,Household
30344,UV,2,Household
30345,OP,3,Household
30346,AB,1,Leasing
30347,YZ,0,Household
30348,QR,0,Household
30349,CD,1,Household
30350,YZ,2,Household
30351,IJ,1,Household
30352,AB,0,Household
30353,CD,0,Household
30354,WX,0,Household
30355,KL,0,Insurance
30356,IJ,0,Household
30357,KL,1,Household
30358,AB,0,Household
30359,MN,0,Household
30360,ST,0,Household
30361,EF,0,Household
30362,CD,0,Household
30363,EF,0,Household
30364,WX,1,Household
30367,UV,1,Household
30370,OP,1,Household
30371,ST,1,Household
30372,AB,1,Household
30373,ST,0,Household
30374,GH,0,Insurance
30375,UV,0,Loan
30386,WX,0,Household
30390,KL,1,Household
30391,EF,0,Household
30392,MN,2,Household
30393,MN,0,Loan
30394,GH,1,Household
30395,YZ,0,Household
30396,WX,0,Household
30397,CD,0,Insurance
30398,OP,1,Household
30399,KL,0,Household
30400,UV,0,Insurance
30401,UV,1,Household
30404,QR,0,Household
30405,CD,0,Household
30406,QR,2,Household
30407,QR,0,Household
30408,AB,1,Leasing
30409,ST,0,Household
30410,OP,0,Household
30411,AB,0,Insurance
30412,UV,0,Household
30413,EF,1,Household
30414,GH,0,Household
30415,IJ,1,Leasing
30416,MN,1,Household
30417,QR,0,Household
30418,WX,0,Insurance
30419,IJ,0,Household
30420,ST,2,Household
30421,ST,0,Leasing
30422,YZ,1,Household
30423,QR,1,Household
30424,OP,0,Household
30425,IJ,2,Household
30426,QR,1,Household
30427,CD,3,Household
30428,IJ,0,Household
30429,AB,0,Household
30430,ST,2,Household
30431,EF,2,Household
30432,WX,0,Household
30433,YZ,0,Household
30434,EF,0,Household
30435,QR,0,Household
30436,IJ,0,Household
30437,UV,0,Household
30438,KL,1,Household
30441,KL,1,Household
30442,AB,1,Household
30443,UV,1,Leasing
30444,QR,1,Household
30445,UV,1,Household
30446,CD,0,Household
30447,IJ,0,Household
30448,MN,0,Insurance
30449,KL,2,Household
30450,KL,2,Loan
30451,KL,0,Household
30452,QR,2,Household
30453,MN,2,Insurance
30454,UV,0,Household
30455,GH,1,Household
30456,UV,0,Household
30466,OP,0,Household
30467,YZ,1,Household
30468,YZ,0,Household
30469,WX,1,Household
30470,EF,0,Leasing
30471,AB,0,Household
30472,GH,0,Household
30473,MN,0,Insurance
30474,UV,0,Household
30475,GH,1,Household
30476,YZ,0,Household
30477,EF,0,Household
30478,IJ,0,Household
30479,GH,0,Household
30480,WX,0,Household
30481,EF,0,Household
30482,OP,0,Household
30483,YZ,1,Insurance
30484,CD,1,Household
30485,CD,0,Household
30486,EF,0,Household
30487,CD,0,Household
30488,IJ,0,Household
30489,YZ,1,Household
30490,YZ,0,Household
30491,OP,2,Household
30492,WX,1,Household
30493,WX,0,Household
30494,QR,0,Insurance
30495,UV,0,Household
30496,YZ,2,Household
30497,GH,0,Household
30498,ST,0,Household
30499,UV,1,Household
30500,AB,0,Household
30501,GH,0,Household
30502,GH,0,Household
30503,CD,1,Household
30504,UV,0,Household
30505,CD,0,Household
30506,KL,0,Household
30507,UV,0,Household
30508,OP,1,Household
30509,OP,0,Household
30510,AB,0,Insurance
30511,GH,1,Household
30512,CD,2,Household
30513,EF,0,Household
30514,YZ,2,Household
30515,KL,1,Household
30516,QR,0,Household
30517,GH,0,Insurance
30518,KL,0,Household
30519,KL,0,Household
30523,IJ,0,Household
30524,CD,1,Household
30525,IJ,1,Household
30526,YZ,0,Household
30527,WX,0,Insurance
30530,EF,0,Household
30531,ST,0,Household
30532,YZ,0,Household
30533,MN,0,Household
30534,IJ,0,Insurance
30535,GH,2,Loan
30536,UV,2,Household
30537,UV,0,Household
30538,IJ,1,Household
30539,UV,0,Household
30540,MN,1,Household
30541,IJ,0,Household
30542,KL,0,Household
30543,GH,0,Insurance
30544,AB,0,Household
30545,MN,1,Loan
30546,CD,2,Household
30547,MN,1,Household
30548,IJ,0,Household
30549,GH,1,Household
30550,OP,0,Household
30551,OP,1,Household
30552,OP,0,Household
30553,OP,0,Household
30554,AB,0,Loan
30555,MN,1,Loan
30556,CD,1,Household
30557,AB,0,Household
30558,AB,0,Household
30559,MN,0,Insurance
30560,CD,0,Household
30561,OP,0,Household
30562,YZ,0,Insurance
30563,EF,0,Household
30564,YZ,0,Household
30565,CD,0,Household
30566,CD,0,Household
30567,ST,0,Household
30568,IJ,0,Household
30569,ST,0,Household
30570,MN,0,Household
30571,UV,0,Household
30572,KL,0,Household
30573,AB,0,Household
30574,EF,0,Leasing
30575,QR,0,Household
30576,IJ,4,Household
30578,QR,1,Loan
30579,GH,2,Household
30580,UV,0,Household
30581,WX,1,Loan
30582,ST,3,Household
30583,IJ,0,Loan
30584,GH,0,Household
30585,KL,0,Household
30586,MN,0,Household
30587,OP,0,Loan
30588,QR,1,Household
30589,GH,1,Household
30590,AB,3,Loan
30594,QR,0,Household
30595,AB,1,Household
30596,QR,0,Household
30597,AB,0,Household
30598,MN,0,Household
30599,CD,0,Household
30600,WX,0,Household
30601,AB,0,Insurance
30602,CD,1,Household
30603,YZ,3,Household
30604,YZ,1,Loan
30605,KL,1,Household
30606,YZ,0,Household
30607,WX,0,Insurance
30608,QR,0,Household
30609,KL,2,Household
30610,UV,0,Household
30611,QR,0,Household
30612,GH,0,Household
30613,GH,1,Household
30614,CD,0,Household
30617,AB,0,Household
30618,MN,0,Household
30619,AB,3,Household
30620,GH,1,Household
30621,MN,1,Household
30622,IJ,0,Household
30623,IJ,1,Household
30624,EF,0,Household
30625,WX,0,Household
30626,WX,0,Insurance
30627,ST,0,Household
30628,GH,4,Household
30629,IJ,3,Household
30630,WX,2,Loan
30631,OP,1,Household
30632,ST,0,Household
30633,UV,0,Insurance
30634,EF,4,Household
30635,KL,0,Leasing
30636,GH,1,Household
30637,IJ,0,Household
30638,GH,0,Household
30639,KL,0,Household
30640,AB,1,Household
30641,QR,0,Household
30642,AB,0,Household
30643,KL,0,Household
30644,IJ,0,Insurance
30645,OP,0,Loan
30646,KL,2,Household
30647,UV,1,Household
30648,ST,0,Household
30649,CD,0,Insurance
30650,KL,0,Household
30651,AB,1,Household
30652,ST,1,Household
30653,ST,0,Household
30654,MN,0,Household
30655,AB,0,Insurance
30656,IJ,0,Household
30657,AB,2,Household
30658,ST,3,Household
30659,IJ,0,Household
30660,AB,1,Household
30661,UV,1,Leasing
30662,CD,2,Household
30663,MN,1,Household
30664,QR,0,Household
30665,OP,0,Household
30666,YZ,0,Household
30667,EF,0,Household
30668,CD,0,Insurance
30669,MN,1,Household
30670,EF,3,Household
30671,ST,0,Household
30672,IJ,0,Insurance
30673,ST,1,Household
30674,ST,1,Household
30675,EF,1,Household
30676,OP,1,Household
30677,QR,0,Household
30678,CD,0,Household
30679,QR,0,Household
30680,YZ,0,Insurance
30681,UV,0,Loan
30682,YZ,0,Leasing
30683,OP,0,Household
30684,ST,2,Household
30685,OP,1,Household
30686,OP,1,Household
30687,UV,0,Household
30688,CD,0,Household
30689,UV,1,Household
30690,MN,0,Household
30691,WX,0,Leasing
30692,OP,1,Household
30698,CD,1,Household
30699,GH,2,Household
30700,EF,0,Household
30701,QR,0,Insurance
30702,AB,0,Household
30703,GH,0,Household
30704,UV,0,Household
30705,AB,3,Household
30706,EF,1,Household
30707,AB,0,Household
30708,YZ,0,Household
30709,IJ,0,Household
30710,EF,1,Household
30711,MN,0,Household
30712,CD,0,Household
30713,CD,0,Household
30714,QR,0,Household
30715,CD,0,Household
30716,QR,0,Household
30717,QR,1,Household
30718,GH,0,Household
30719,AB,2,Household
30720,EF,0,Household
30721,UV,0,Household
30722,YZ,0,Leasing
30723,ST,1,Household
30724,UV,0,Household
30725,EF,0,Household
30726,OP,0,Household
30727,QR,0,Insurance
30728,GH,0,Household
30729,EF,2,Household
