account_id,frequency
7713,Weekly
8051,Weekly
8158,Weekly
8327,Weekly
8547,Weekly
8899,Weekly
8931,Weekly
9006,Weekly
9403,Weekly
9491,Weekly
9646,Weekly
10063,Weekly
10093,Weekly
10478,Weekly
10738,Weekly
10911,Weekly
10915,Weekly
10942,Weekly
10973,Weekly
11013,Weekly
11054,Weekly
11349,Weekly
